"DIRECTORIO";"HOGAR_NUMERO";"PERSONA_NUMERO";"REGION";"sexo";"estrato";"no_identifica_x_escándalos_corrupcion";"conteo_transparente_colombia"
114040;1;1;"Central";"Mujer";"Estrato 3";"No";NA
114040;1;2;"Central";"Mujer";"Estrato 3";"No";"No"
114041;1;1;"Central";"Hombre";"Estrato 3";NA;"Sí"
114041;1;2;"Central";"Mujer";"Estrato 3";"Sí";"No"
114041;1;3;"Central";"Mujer";"Estrato 3";"Sí";NA
114042;1;1;"Central";"Mujer";"Estrato 3";"Sí";"No"
114042;1;2;"Central";"Mujer";"Estrato 3";"Sí";"Sí"
114043;1;1;"Central";"Mujer";"Estrato 3";"Sí";NA
114043;1;2;"Central";"Mujer";"Estrato 3";"Sí";"Sí"
114044;1;1;"Central";"Hombre";"Estrato 1";"Sí";"No"
114045;1;1;"Central";"Hombre";"Estrato 3";"No";NA
114045;1;2;"Central";"Mujer";"Estrato 3";"No";NA
114046;1;1;"Central";"Mujer";"Estrato 3";NA;NA
114047;1;1;"Central";"Hombre";"Estrato 3";"Sí";"No"
114047;1;2;"Central";"Mujer";"Estrato 3";"Sí";"Sí"
114048;1;1;"Central";"Hombre";"Estrato 1";"No";NA
114048;1;2;"Central";"Mujer";"Estrato 1";"Sí";NA
114049;1;1;"Central";"Mujer";"Estrato 3";"Sí";"No"
114050;1;1;"Central";"Mujer";"Estrato 3";"Sí";"Sí"
114050;1;2;"Central";"Hombre";"Estrato 3";"No";NA
114051;1;1;"Central";"Hombre";"Estrato 2";"Sí";NA
114051;1;2;"Central";"Mujer";"Estrato 2";"No";NA
114052;1;1;"Central";"Mujer";"Estrato 2";"Sí";NA
114053;1;1;"Central";"Hombre";"Estrato 2";NA;"No"
114053;1;2;"Central";"Mujer";"Estrato 2";NA;"No"
114054;1;1;"Central";"Mujer";"Estrato 2";"No";NA
114054;1;2;"Central";"Mujer";"Estrato 2";"No";NA
114055;1;1;"Central";"Hombre";"Estrato 3";"No";NA
114056;1;1;"Central";"Hombre";"Estrato 3";"Sí";"No"
114056;1;2;"Central";"Mujer";"Estrato 3";"No";"No"
114056;1;3;"Central";"Mujer";"Estrato 3";"No";"Sí"
114057;1;1;"Central";"Mujer";"Estrato 3";"Sí";"No"
114058;1;1;"Central";"Mujer";"Estrato 3";"No";"No"
114058;1;2;"Central";"Hombre";"Estrato 3";"No";NA
114059;1;1;"Central";"Hombre";"Estrato 3";"No";"No"
114059;1;2;"Central";"Mujer";"Estrato 3";"No";"No"
114059;1;3;"Central";"Mujer";"Estrato 3";"No";"No"
114060;1;1;"Central";"Hombre";"Estrato 3";"No";"No"
114060;1;2;"Central";"Mujer";"Estrato 3";"Sí";"No"
114061;1;1;"Central";"Mujer";"Estrato 3";"No";NA
114061;1;2;"Central";"Hombre";"Estrato 3";"No";NA
114061;1;4;"Central";"Hombre";"Estrato 3";"No";NA
114062;1;1;"Central";"Mujer";"Estrato 3";"Sí";"No"
114062;1;2;"Central";"Hombre";"Estrato 3";"No";"No"
114063;1;1;"Central";"Mujer";"Estrato 3";"No";"Sí"
114063;1;2;"Central";"Mujer";"Estrato 3";"No";"Sí"
114064;1;1;"Central";"Mujer";"Estrato 3";NA;NA
114064;1;2;"Central";"Hombre";"Estrato 3";"No";"No"
114065;1;1;"Central";"Hombre";"Estrato 3";"No";NA
114066;1;1;"Caribe";"Hombre";"Estrato 3";"Sí";NA
114066;1;2;"Caribe";"Mujer";"Estrato 3";NA;"Sí"
114067;1;1;"Caribe";"Hombre";"Estrato 3";"Sí";"Sí"
114067;1;2;"Caribe";"Mujer";"Estrato 3";"No";"No"
114068;1;1;"Caribe";"Hombre";"Estrato 4";"No";NA
114068;1;2;"Caribe";"Mujer";"Estrato 4";NA;"No"
114069;1;1;"Caribe";"Mujer";"Estrato 4";NA;"No"
114070;1;1;"Caribe";"Mujer";"Estrato 3";"Sí";"No"
114070;1;3;"Caribe";"Mujer";"Estrato 3";"Sí";"Sí"
114071;1;1;"Caribe";"Hombre";"Estrato 3";"Sí";"Sí"
114071;1;2;"Caribe";"Mujer";"Estrato 3";"Sí";"No"
114072;1;1;"Caribe";"Hombre";"Estrato 4";"Sí";"No"
114072;1;2;"Caribe";"Mujer";"Estrato 4";"No";NA
114073;1;1;"Caribe";"Mujer";"Estrato 4";"Sí";"Sí"
114073;1;2;"Caribe";"Hombre";"Estrato 4";"Sí";"No"
114073;1;3;"Caribe";"Mujer";"Estrato 4";"No";NA
114074;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114074;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114074;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114075;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114075;1;2;"Caribe";"Mujer";"Estrato 1";"No";"No"
114076;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
114076;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114076;1;3;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114077;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114077;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114078;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114078;1;2;"Caribe";"Mujer";"Estrato 1";"No";NA
114079;1;1;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
114079;1;2;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
114080;1;1;"Caribe";"Hombre";"Estrato 1";NA;"No"
114081;1;1;"Caribe";"Mujer";"Estrato 1";"No";NA
114081;1;2;"Caribe";"Hombre";"Estrato 1";"No";NA
114081;1;3;"Caribe";"Mujer";"Estrato 1";"No";NA
114082;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114082;1;2;"Caribe";"Mujer";"Estrato 1";NA;"No"
114083;1;1;"Caribe";"Hombre";"Estrato 1";NA;"No"
114084;1;1;"Caribe";"Hombre";"Estrato 1";"No";NA
114084;1;2;"Caribe";"Mujer";"Estrato 1";"No";NA
114085;1;1;"Caribe";"Mujer";"Estrato 1";NA;"No"
114085;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";NA
114085;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114085;1;4;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114085;1;5;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114086;1;1;"Caribe";"Hombre";"Estrato 2";NA;"No"
114086;1;2;"Caribe";"Mujer";"Estrato 2";NA;NA
114086;1;3;"Caribe";"Hombre";"Estrato 2";NA;NA
114087;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114087;1;2;"Caribe";"Hombre";"Estrato 1";"No";"No"
114087;1;3;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114088;1;1;"Caribe";"Hombre";"Estrato 1";"No";NA
114088;1;2;"Caribe";"Mujer";"Estrato 1";"No";NA
114089;1;1;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
114089;1;2;"Caribe";"Mujer";"Estrato 1";NA;"No"
114090;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";NA
114090;1;2;"Caribe";"Hombre";"Estrato 1";"No";NA
114091;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114091;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114091;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114091;1;5;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
114091;1;6;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114091;1;7;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114091;1;8;"Caribe";"Hombre";"Estrato 1";"Sí";NA
114092;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";NA
114093;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114094;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114094;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114095;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114095;1;2;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
114096;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";NA
114096;1;2;"Caribe";"Mujer";"Estrato 2";"No";NA
114097;1;1;"Caribe";"Hombre";"Estrato 2";NA;NA
114097;1;2;"Caribe";"Mujer";"Estrato 2";NA;NA
114098;1;1;"Caribe";"Mujer";"Estrato 2";NA;"Sí"
114098;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";NA
114099;1;1;"Caribe";"Mujer";"Estrato 2";"No";NA
114099;1;2;"Caribe";"Hombre";"Estrato 2";"No";NA
114100;1;1;"Caribe";"Hombre";"Estrato 2";NA;"No"
114100;1;2;"Caribe";"Mujer";"Estrato 2";NA;"No"
114101;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";NA
114101;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114101;1;3;"Caribe";"Hombre";"Estrato 2";"No";NA
114102;1;1;"Caribe";"Hombre";"Estrato 2";"No";"Sí"
114103;1;1;"Caribe";"Hombre";"Estrato 2";NA;"Sí"
114103;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
114103;1;3;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114104;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114105;1;1;"Caribe";"Hombre";"Estrato 2";"No";"Sí"
114106;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
114106;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
114107;1;1;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114107;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114107;1;6;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114108;1;1;"Caribe";"Hombre";"Estrato 1";NA;NA
114108;1;2;"Caribe";"Mujer";"Estrato 1";"No";NA
114108;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";NA
114109;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114109;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114110;1;1;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
114111;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114112;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";NA
114112;1;2;"Caribe";"Hombre";"Estrato 1";"No";NA
114113;1;1;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
114113;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114114;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114114;1;2;"Caribe";"Hombre";"Estrato 1";"No";"Sí"
114115;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114115;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";NA
114116;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114117;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114117;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114118;1;1;"Caribe";"Hombre";"Estrato 2";"No";"No"
114118;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
114118;1;3;"Caribe";"Mujer";"Estrato 2";"No";"Sí"
114119;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";NA
114120;1;1;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
114120;1;2;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
114121;1;1;"Caribe";"Hombre";"Estrato 2";NA;NA
114121;1;2;"Caribe";"Mujer";"Estrato 2";"No";"Sí"
114122;1;1;"Caribe";"Hombre";"Estrato 2";"No";"Sí"
114122;1;2;"Caribe";"Mujer";"Estrato 2";NA;"Sí"
114122;1;5;"Caribe";"Mujer";"Estrato 2";"Sí";NA
114123;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114123;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114123;1;3;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114123;1;4;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114124;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114125;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114125;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114126;1;1;"Caribe";"Mujer";"Estrato 1";"No";NA
114126;1;2;"Caribe";"Hombre";"Estrato 1";"No";"Sí"
114127;1;1;"Caribe";"Mujer";"Estrato 2";"No";"No"
114127;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
114128;1;1;"Caribe";"Hombre";"Estrato 1";"No";"Sí"
114128;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114129;1;1;"Caribe";"Mujer";"Estrato 2";"No";"Sí"
114130;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";NA
114131;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
114131;1;2;"Caribe";"Mujer";"Estrato 2";"No";"No"
114132;1;1;"Caribe";"Hombre";"Estrato 2";NA;NA
114134;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
114135;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
114135;1;2;"Caribe";"Mujer";"Estrato 2";"No";"Sí"
114136;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";NA
114165;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114165;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114166;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114166;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";NA
114166;1;3;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114166;1;5;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114166;1;6;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114166;1;7;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114166;1;8;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114166;1;9;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114168;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114168;1;2;"Caribe";"Mujer";"Estrato 2";"No";"No"
114169;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114169;1;2;"Caribe";"Hombre";"Estrato 2";"No";"No"
114169;1;5;"Caribe";"Hombre";"Estrato 2";"No";"No"
114169;1;6;"Caribe";"Mujer";"Estrato 2";"No";NA
114170;1;1;"Caribe";"Hombre";"Estrato 2";"No";NA
114170;1;2;"Caribe";"Mujer";"Estrato 2";"No";NA
114171;1;1;"Caribe";"Hombre";"Estrato 2";"No";NA
114171;1;2;"Caribe";"Mujer";"Estrato 2";"No";NA
114171;1;3;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114171;1;4;"Caribe";"Mujer";"Estrato 2";"No";NA
114172;1;1;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114172;1;2;"Caribe";"Hombre";"Estrato 1";"No";"No"
114173;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114173;1;2;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114174;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114174;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114174;1;3;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114174;1;4;"Caribe";"Hombre";"Estrato 1";"No";"No"
114175;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114175;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114175;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114176;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
114176;1;2;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114177;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
114177;1;2;"Caribe";"Mujer";"Estrato 1";"No";NA
114177;1;3;"Caribe";"Hombre";"Estrato 1";"No";NA
114177;1;4;"Caribe";"Mujer";"Estrato 1";"No";"No"
114177;1;5;"Caribe";"Mujer";"Estrato 1";"No";NA
114177;1;6;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114178;1;1;"Caribe";"Hombre";"Estrato 3";"No";"No"
114178;1;2;"Caribe";"Mujer";"Estrato 3";"No";NA
114179;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114179;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114179;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114180;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114180;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114180;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114180;1;4;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114180;1;6;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114181;1;1;"Caribe";"Hombre";"Estrato 2";"No";"No"
114181;1;2;"Caribe";"Mujer";"Estrato 2";"No";"Sí"
114182;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114182;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114182;1;3;"Caribe";"Hombre";"Estrato 2";"No";"Sí"
114183;1;1;"Caribe";"Hombre";"Estrato 2";"No";"No"
114183;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114183;1;4;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114183;1;5;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114183;1;6;"Caribe";"Mujer";"Estrato 2";"No";"No"
114183;1;7;"Caribe";"Hombre";"Estrato 2";"No";"No"
114183;1;9;"Caribe";"Hombre";"Estrato 2";"No";"No"
114184;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114184;1;2;"Caribe";"Hombre";"Estrato 1";"No";"No"
114184;1;3;"Caribe";"Hombre";"Estrato 1";"No";NA
114185;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
114185;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
114186;1;1;"Caribe";"Hombre";"Estrato 2";NA;"Sí"
114186;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
114186;1;3;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
114187;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114187;1;2;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114187;1;3;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114187;1;4;"Caribe";"Mujer";"Estrato 2";"No";"No"
114187;1;7;"Caribe";"Mujer";"Estrato 2";"No";"No"
114187;1;10;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114187;1;11;"Caribe";"Hombre";"Estrato 2";"Sí";NA
114188;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114188;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
114190;1;1;"Caribe";"Mujer";"Estrato 3";"No";NA
114190;1;2;"Caribe";"Mujer";"Estrato 3";"No";"No"
114190;1;3;"Caribe";"Hombre";"Estrato 3";"No";"No"
114190;1;4;"Caribe";"Mujer";"Estrato 3";"No";NA
114191;1;1;"Caribe";"Mujer";"Estrato 2";"No";"No"
114191;1;2;"Caribe";"Mujer";"Estrato 2";NA;"No"
114192;1;1;"Caribe";"Hombre";"Estrato 2";"No";"Sí"
114192;1;2;"Caribe";"Mujer";"Estrato 2";"No";"No"
114193;1;1;"Caribe";"Hombre";"Estrato 2";"No";NA
114193;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114194;1;1;"Caribe";"Mujer";"Estrato 2";"No";"No"
114194;1;2;"Caribe";"Hombre";"Estrato 2";"No";"No"
114195;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114195;1;2;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114195;1;3;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114196;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
114196;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114197;1;1;"Caribe";"Mujer";"Estrato 2";"No";"No"
114197;1;2;"Caribe";"Hombre";"Estrato 2";NA;NA
114197;1;3;"Caribe";"Hombre";"Estrato 2";"No";NA
114197;1;5;"Caribe";"Mujer";"Estrato 2";"No";"Sí"
114198;1;1;"Caribe";"Hombre";"Estrato 1";NA;"No"
114198;1;2;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
114199;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114199;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114199;1;3;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114199;1;5;"Caribe";"Mujer";"Estrato 2";"Sí";NA
114200;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114200;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
114200;1;3;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114201;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114201;1;2;"Caribe";"Hombre";"Estrato 2";"No";"No"
114201;1;4;"Caribe";"Hombre";"Estrato 2";"No";"No"
114202;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114202;1;2;"Caribe";"Hombre";"Estrato 2";"No";"No"
114202;1;3;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114202;1;6;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
114203;1;1;"Caribe";"Hombre";"Estrato 1";"No";"Sí"
114203;1;2;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114203;2;1;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114203;3;1;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
114203;3;2;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114203;3;3;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114204;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
114204;1;2;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114205;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114205;1;2;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
114205;1;3;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
114205;1;5;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
114206;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
114206;1;2;"Caribe";"Hombre";"Estrato 1";"No";"No"
114206;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114206;1;4;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114207;1;1;"Caribe";"Hombre";"Estrato 2";"No";"Sí"
114207;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
114208;1;1;"Caribe";"Mujer";"Estrato 2";NA;"No"
114209;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";NA
114209;1;2;"Caribe";"Hombre";"Estrato 2";"No";"No"
114210;1;1;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114210;1;2;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
114210;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114211;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
114213;1;1;"Caribe";"Hombre";"Estrato 3";"Sí";"Sí"
114213;1;2;"Caribe";"Mujer";"Estrato 3";"Sí";"No"
114214;1;1;"Caribe";"Mujer";"Estrato 3";NA;"Sí"
114214;1;2;"Caribe";"Mujer";"Estrato 3";"Sí";"No"
114215;1;1;"Caribe";"Hombre";"Estrato 3";"Sí";"No"
114215;1;2;"Caribe";"Mujer";"Estrato 3";"Sí";"No"
114216;1;1;"Caribe";"Hombre";"Estrato 4";"No";"Sí"
114216;1;2;"Caribe";"Mujer";"Estrato 4";"Sí";"Sí"
114216;1;3;"Caribe";"Mujer";"Estrato 4";"Sí";"Sí"
114216;1;4;"Caribe";"Hombre";"Estrato 4";"Sí";"Sí"
114217;1;1;"Caribe";"Mujer";"Estrato 4";"No";NA
114217;1;2;"Caribe";"Hombre";"Estrato 4";"No";"No"
114217;1;3;"Caribe";"Mujer";"Estrato 4";"No";NA
114218;1;1;"Caribe";"Mujer";"Estrato 3";"Sí";"Sí"
114218;1;2;"Caribe";"Mujer";"Estrato 3";"Sí";"Sí"
114219;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114219;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114220;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";NA
114220;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114221;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114221;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114221;1;3;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114222;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114222;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114223;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114223;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114223;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114223;1;4;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114224;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114224;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114225;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114225;1;2;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114226;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114226;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114226;1;4;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114227;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114227;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";NA
114227;1;3;"Caribe";"Hombre";"Estrato 1";"No";"Sí"
114227;1;5;"Caribe";"Mujer";"Estrato 1";"No";"No"
114228;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114228;1;2;"Caribe";"Mujer";"Estrato 1";"No";"No"
114228;1;3;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
114229;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
114229;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114229;1;3;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
114229;2;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114230;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114230;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
114231;1;1;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
114231;1;2;"Caribe";"Hombre";"Estrato 1";"No";NA
114232;1;1;"Caribe";"Hombre";"Ilegal - pirata";"Sí";"No"
114232;1;2;"Caribe";"Mujer";"Ilegal - pirata";"Sí";"No"
114233;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
114234;1;1;"Caribe";"Hombre";"Estrato 1";NA;"No"
114234;1;2;"Caribe";"Mujer";"Estrato 1";"No";"No"
114234;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
114235;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
114235;1;2;"Caribe";"Hombre";"Estrato 1";"No";"No"
114236;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
